Website,Product Name,Price,Discount,Rating,Product URL,Image URL
Jumia,TenTech Soft Silicone Sports Band For Xiaomi Mi Watch Lite / Redmi Watch Smart Watch Breathable Band For Xiaomi Mi Watch Lite - Beige,EGP 110.00,39%,1 out of 5,https://www.jumia.com.eg/generic-tentech-soft-silicone-sports-band-for-xiaomi-mi-watch-lite-redmi-watch-smart-watch-breathable-band-for-xiaomi-mi-watch-lite-beige-59763770.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/736795/1.jpg?0269
Jumia,"Tin Tech With Apple Watch Series Ultra/Ultra 2 Band 49mm 45mm 44mm 42mm, Nylon Sports Trail Loop Band For Apple Watch Ultra/SE 1/2/3/4/5/6/7/ 8, – Yellow / Beige",EGP 125.00,54%,1 out of 5,https://www.jumia.com.eg/generic-tin-tech-with-apple-watch-series-ultraultra-2-band-49mm-45mm-44mm-42mm-nylon-sports-trail-loop-band-for-apple-watch-ultrase-1234567-8-yellow-beige-53512966.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/921535/1.jpg?2693
Jumia,TenTech Soft Silicone Sports Band For Xiaomi Mi Watch Lite / Redmi Watch Smart Watch Breathable Band For Xiaomi Mi Watch Lite - Black,EGP 110.00,39%,5 out of 5,https://www.jumia.com.eg/generic-tentech-soft-silicone-sports-band-for-xiaomi-mi-watch-lite-redmi-watch-smart-watch-breathable-band-for-xiaomi-mi-watch-lite-black-59763768.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/736795/1.jpg?0269
Jumia,"Durable 22mm Band For Samsung Galaxy Watch 3 45-46mm / Gear 3, Nylon Sport Band For Huawei Watch GT3 46mm / GT2E / GT4 46mm / GT2 Pro / GT2 46mm / GTR3 / GTR4 Pro, Alpine Loop Sports Band Ten Tech Knitted Fabric - Black & Grey",EGP 134.00,26%,3.3 out of 5,https://www.jumia.com.eg/generic-durable-22mm-band-for-samsung-galaxy-watch-3-45-46mm-gear-3-nylon-sport-band-for-huawei-watch-gt3-46mm-gt2e-gt4-46mm-gt2-pro-gt2-46mm-gtr3-gtr4-pro-alpine-loop-sports-band-ten-tech-knitted-fabric-black-grey-57196319.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/369175/1.jpg?5436
Jumia,General Serpenti Tubogas Ladies Watch 102098,"EGP 2,205.00",21%,No Rating Found,https://www.jumia.com.eg/general-serpenti-tubogas-ladies-watch-102098-133548326.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/3845331/1.jpg?0525
Jumia,"Smart Watch Ultra, Large Infiite Display, Wireless Charging, Supports Multiple Sports Modes, Compatible With IPhone And Android Phones, Silicone Band (Black)",EGP 549.00,63%,No Rating Found,https://www.jumia.com.eg/generic-smart-watch-ultra-large-infiite-display-wireless-charging-supports-multiple-sports-modes-compatible-with-iphone-and-android-phones-silicone-band-black-53263952.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/936235/1.jpg?4541
Jumia,Silicon Strap For Smat Watche - Compatible With Apple & Similars - 42 Mm To 49 Mm,EGP 119.00,52%,No Rating Found,https://www.jumia.com.eg/generic-silicon-strap-for-smat-watche-compatible-with-apple-similars-42-mm-to-49-mm-123456571.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/5654321/1.jpg?4729
Jumia,22mm Silicone Strap With Magnetic Folding Buckle For Xiaomi Watch S1/S1 Active/Mi Watch - Blue,EGP 135.00,55%,No Rating Found,https://www.jumia.com.eg/generic-22mm-silicone-strap-with-magnetic-folding-buckle-for-xiaomi-watch-s1s1-activemi-watch-blue-45945508.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/554954/1.jpg?8235
Jumia,Redmi Watch 5 Active Anti-Scratch HD Clear Soft Glass Film Screen Protector,EGP 99.00,No Discount,5 out of 5,https://www.jumia.com.eg/generic-redmi-watch-5-active-anti-scratch-hd-clear-soft-glass-film-screen-protector-130699037.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/0996031/1.jpg?3978
Jumia,"Soft Silicone Wriest Rubber Band Watch Strap Compatible With 22 Mm Strap For Compatible With Xiaomi Redmi Watch 5 Active/Redmi Watch 5 Lite, 22mm For - Smart Watch - - (Only Strap) Blue",EGP 130.00,13%,5 out of 5,https://www.jumia.com.eg/generic-soft-silicone-wriest-rubber-band-watch-strap-compatible-with-22-mm-strap-for-compatible-with-xiaomi-redmi-watch-5-activeredmi-watch-5-lite-22mm-for-smart-watch-only-strap-blue-131913370.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3319131/1.jpg?6988
